# GRCh38.p14 alt loci scaffold placement relative to primary chromosomes
# Source: UCSC hg38 altSeqLiftOverPsl + NCBI GCF_000001405.40 assembly report
# Date built: 2026-03-11
#
# Columns:
#   ucsc_alt_name       UCSC-style name of the alt scaffold (matches BAM/BED naming)
#   primary_chrom       Primary chromosome this scaffold is placed on
#   primary_start       0-based start of aligned region on the primary chromosome
#   primary_end         End of aligned region on primary chromosome (half-open)
#   alt_aligned_start   0-based start of aligned region on the alt scaffold
#   alt_aligned_end     End of aligned region on alt scaffold (half-open)
#   alt_start_tail      Unaligned bases before the aligned region on the alt scaffold
#   alt_stop_tail       Unaligned bases after the aligned region on the alt scaffold
#   alt_seq_length      Full length of the alt scaffold
#   orientation         Strand of the alt scaffold relative to primary (+/-)
#   refseq_acc          RefSeq accession (matches NCBI FASTA headers)
#   genbank_acc         GenBank accession (GL/KI/KQ etc. prefix)
#   assembly_unit       NCBI assembly unit group (ALT_REF_LOCI_N)
#   coord_conversion    Linear formula: primary_pos -> alt_pos (ignores small indels;
#                       sufficient for read-overlap fetching purposes)
#                       Valid range: primary_pos in [primary_start, primary_end)
ucsc_alt_name	primary_chrom	primary_start	primary_end	alt_aligned_start	alt_aligned_end	alt_start_tail	alt_stop_tail	alt_seq_length	orientation	refseq_acc	genbank_acc	assembly_unit	coord_conversion
chr8_KI270810v1_alt	chr8	128554722	128925740	0	374415	0	0	374415	+	NT_187567.1	KI270810.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 128554722)
chr8_KZ559107v1_alt	chr8	129724677	129818699	0	103072	0	0	103072	+	.	.	.	alt_pos = 0 + (primary_pos - 129724677)
chr8_KI270819v1_alt	chr8	141333446	141461079	0	133535	0	0	133535	+	NT_187574.1	KI270819.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 141333446)
chr8_KI270820v1_alt	chr8	141766833	141800272	0	36640	0	0	36640	+	NT_187575.1	KI270820.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 141766833)
chr8_KI270817v1_alt	chr8	143009712	143163398	0	158983	0	0	158983	+	NT_187573.1	KI270817.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 143009712)
chr8_KI270816v1_alt	chr8	143509960	143828794	0	305841	0	0	305841	+	NT_187571.1	KI270816.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 143509960)
chr8_KI270815v1_alt	chr8	144628749	144757761	0	132244	0	0	132244	+	NT_187569.1	KI270815.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 144628749)
chr9_GL383539v1_alt	chr9	7428993	7577169	14844	162988	14844	0	162988	+	NW_003315928.1	GL383539.1	ALT_REF_LOCI_1	alt_pos = 14844 + (primary_pos - 7428993)
chr9_KQ090018v1_alt	chr9	8983670	9142737	0	163882	0	0	163882	+	.	.	.	alt_pos = 0 + (primary_pos - 8983670)
chr9_KQ090019v1_alt	chr9	24949708	25079413	0	134099	0	0	134099	+	.	.	.	alt_pos = 0 + (primary_pos - 24949708)
chr9_GL383540v1_alt	chr9	69413742	69477097	8243	71551	8243	0	71551	+	NW_003315929.1	GL383540.1	ALT_REF_LOCI_1	alt_pos = 8243 + (primary_pos - 69413742)
chr9_GL383541v1_alt	chr9	70024112	70189318	0	171286	0	0	171286	+	NW_003315930.1	GL383541.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 70024112)
chr9_GL383542v1_alt	chr9	88179046	88227980	0	60032	0	0	60032	+	NW_003315931.1	GL383542.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 88179046)
chr9_KI270823v1_alt	chr9	100948797	101378291	0	439082	0	0	439082	+	NT_187578.1	KI270823.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 100948797)
chr10_GL383545v1_alt	chr10	27285654	27417608	0	179254	0	0	179254	+	NW_003315934.1	GL383545.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 27285654)
chr10_KI270824v1_alt	chr10	42103239	42298939	0	181496	0	0	181496	+	NT_187579.1	KI270824.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 42103239)
chr10_GL383546v1_alt	chr10	45175232	45468971	0	309802	0	0	309802	+	NW_003315935.1	GL383546.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 45175232)
chr10_KQ090020v1_alt	chr10	65503224	65684914	0	185507	0	0	185507	+	.	.	.	alt_pos = 0 + (primary_pos - 65503224)
chr10_KI270825v1_alt	chr10	77761308	77931226	0	169918	0	18397	188315	+	na	KI270825.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 77761308)
chr11_KI270832v1_alt	chr11	470359	678681	0	210133	0	0	210133	+	NT_187586.1	KI270832.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 470359)
chr11_KI270902v1_alt	chr11	937257	1037146	0	106711	0	0	106711	+	NT_187656.1	KI270902.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 937257)
chr11_KI270927v1_alt	chr11	937257	1150311	0	218612	0	0	218612	+	NT_187681.1	KI270927.1	ALT_REF_LOCI_3	alt_pos = 0 + (primary_pos - 937257)
chr11_KI270903v1_alt	chr11	1523473	1740879	0	214625	0	0	214625	+	NT_187657.1	KI270903.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 1523473)
chr11_KI270830v1_alt	chr11	1523473	1694855	0	177092	0	0	177092	+	NT_187584.1	KI270830.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 1523473)
chr11_KI270831v1_alt	chr11	2767813	3065846	0	296883	0	12	296895	+	NT_187585.1	KI270831.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 2767813)
chr11_KI270829v1_alt	chr11	7779132	7972558	0	204059	0	0	204059	+	NT_187583.1	KI270829.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 7779132)
chr11_KN538368v1_alt	chr11	7779132	7972558	0	203552	0	0	203552	+	.	.	.	alt_pos = 0 + (primary_pos - 7779132)
chr11_GL383547v1_alt	chr11	25170406	25319080	0	154407	0	0	154407	+	NW_003315936.1	GL383547.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 25170406)
chr11_JH159136v1_alt	chr11	56189251	56382643	0	200998	0	0	200998	+	NW_003871073.1	JH159136.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 56189251)
chr11_JH159137v1_alt	chr11	56693232	56873567	0	191409	0	0	191409	+	NW_003871074.1	JH159137.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 56693232)
chr11_KZ559111v1_alt	chr11	59910345	60087289	0	181167	0	0	181167	+	.	.	.	alt_pos = 0 + (primary_pos - 59910345)
chr11_KI270827v1_alt	chr11	69165290	69229344	0	67707	0	0	67707	+	NT_187582.1	KI270827.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 69165290)
chr11_KZ559110v1_alt	chr11	90093877	90364703	0	301637	0	0	301637	+	.	.	.	alt_pos = 0 + (primary_pos - 90093877)
chr11_MU273368v1_alt	chr11	104700867	104962061	0	261194	0	0	261194	+	.	.	.	alt_pos = 0 + (primary_pos - 104700867)
chr11_KI270826v1_alt	chr11	134773599	134962792	0	186169	0	0	186169	+	NT_187581.1	KI270826.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 134773599)
chr12_GL877875v1_alt	chr12	10000	173298	0	167313	0	0	167313	+	NW_003571049.1	GL877875.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 10000)
chr12_KQ090023v1_alt	chr12	1033529	1135924	0	109323	0	0	109323	+	.	.	.	alt_pos = 0 + (primary_pos - 1033529)
chr12_GL877876v1_alt	chr12	10801294	11177617	0	408271	0	0	408271	+	NW_003571050.1	GL877876.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 10801294)
chr12_KI270904v1_alt	chr12	10801294	11377386	0	572349	0	0	572349	+	NT_187658.1	KI270904.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 10801294)
chr12_KI270837v1_alt	chr12	11337224	11377386	0	40090	0	0	40090	-	NT_187588.1	KI270837.1	ALT_REF_LOCI_1	alt_pos = 40090 - (primary_pos - 11337224)
chr12_GL383549v1_alt	chr12	27996033	28110778	0	120804	0	0	120804	-	NW_003315938.1	GL383549.1	ALT_REF_LOCI_1	alt_pos = 120804 - (primary_pos - 27996033)
chr12_KI270835v1_alt	chr12	31111479	31347345	0	238139	0	0	238139	+	NT_187587.1	KI270835.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 31111479)
chr12_GL383550v2_alt	chr12	57932736	58092755	0	169178	0	0	169178	-	NW_003315939.2	GL383550.2	ALT_REF_LOCI_1	alt_pos = 169178 - (primary_pos - 57932736)
chr12_GL383552v1_alt	chr12	58929264	59060870	0	138655	0	0	138655	+	NW_003315941.1	GL383552.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 58929264)
chr12_KZ208918v1_alt	chr12	86094143	86261655	0	174808	0	0	174808	+	.	.	.	alt_pos = 0 + (primary_pos - 86094143)
chr12_GL383553v2_alt	chr12	101111598	101258295	0	152874	0	0	152874	-	NW_003315942.2	GL383553.2	ALT_REF_LOCI_1	alt_pos = 152874 - (primary_pos - 101111598)
chr12_KI270834v1_alt	chr12	123826508	123945954	0	119498	0	0	119498	+	NT_187590.1	KI270834.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 123826508)
chr12_GL383551v1_alt	chr12	126227197	126405474	0	184319	0	0	184319	+	NW_003315940.1	GL383551.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 126227197)
chr12_KZ559112v1_alt	chr12	127053476	127193247	0	154139	0	0	154139	+	.	.	.	alt_pos = 0 + (primary_pos - 127053476)
chr12_KI270833v1_alt	chr12	130323075	130394967	0	76061	0	0	76061	+	NT_187589.1	KI270833.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 130323075)
chr12_KI270836v1_alt	chr12	131543019	131584984	0	56134	0	0	56134	+	NT_187591.1	KI270836.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 131543019)
chr13_KI270840v1_alt	chr13	18698350	18884136	0	191684	0	0	191684	+	NT_187594.1	KI270840.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 18698350)
chr13_KI270839v1_alt	chr13	25652361	25828680	0	180306	0	0	180306	-	NT_187593.1	KI270839.1	ALT_REF_LOCI_1	alt_pos = 180306 - (primary_pos - 25652361)
chr13_KI270843v1_alt	chr13	70341885	70442876	0	103832	0	0	103832	+	NT_187597.1	KI270843.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 70341885)
chr13_KQ090024v1_alt	chr13	84294440	84452423	0	168146	0	0	168146	+	.	.	.	alt_pos = 0 + (primary_pos - 84294440)
chr13_KI270841v1_alt	chr13	89598963	89764093	0	169134	0	0	169134	+	NT_187595.1	KI270841.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 89598963)
chr13_KQ090025v1_alt	chr13	108604133	108722945	0	123480	0	0	123480	+	.	.	.	alt_pos = 0 + (primary_pos - 108604133)
chr13_KI270838v1_alt	chr13	112182874	112505943	0	306913	0	0	306913	+	NT_187592.1	KI270838.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 112182874)
chr13_KI270842v1_alt	chr13	113727530	113763795	540	37287	540	0	37287	+	NT_187596.1	KI270842.1	ALT_REF_LOCI_1	alt_pos = 540 + (primary_pos - 113727530)
chr14_ML143368v1_alt	chr14	46309690	46567274	0	264228	0	0	264228	+	.	.	.	alt_pos = 0 + (primary_pos - 46309690)
chr14_KZ208919v1_alt	chr14	63664048	63829157	0	171798	0	0	171798	+	.	.	.	alt_pos = 0 + (primary_pos - 63664048)
chr14_KI270844v1_alt	chr14	91535864	91854371	0	322166	0	0	322166	+	NT_187598.1	KI270844.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 91535864)
chr14_KI270847v1_alt	chr14	92885438	94394539	0	1511111	0	0	1511111	+	NT_187601.1	KI270847.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 92885438)
chr14_KI270845v1_alt	chr14	104449321	104622880	0	180703	0	0	180703	+	NT_187599.1	KI270845.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 104449321)
chr14_KI270846v1_alt	chr14	105533002	106860219	0	1351393	0	0	1351393	+	NT_187600.1	KI270846.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 105533002)
chr15_KI270852v1_alt	chr15	21242090	21714003	0	478999	0	0	478999	+	NT_187602.1	KI270852.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 21242090)
chr15_KI270851v1_alt	chr15	22358242	22618722	2732	263054	2732	0	263054	+	NT_187604.1	KI270851.1	ALT_REF_LOCI_1	alt_pos = 2732 + (primary_pos - 22358242)
chr15_KI270848v1_alt	chr15	22902960	23226874	0	327382	0	0	327382	+	NT_187603.1	KI270848.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 22902960)
chr15_KI270906v1_alt	chr15	23035267	23226874	0	196384	0	0	196384	+	NT_187659.1	KI270906.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 23035267)
chr15_KI270905v1_alt	chr15	27865713	32946929	0	5161414	0	0	5161414	+	NT_187660.1	KI270905.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 27865713)
chr15_GL383554v1_alt	chr15	28312040	28596947	0	296527	0	0	296527	+	NW_003315943.1	GL383554.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 28312040)
chr15_KQ031389v1_alt	chr15	30012326	32846950	0	2365364	0	0	2365364	+	.	.	.	alt_pos = 0 + (primary_pos - 30012326)
chr15_KI270905v1_alt	chr15	30377807	30588468	2662687	2873409	2662687	2288005	5161414	-	NT_187660.1	KI270905.1	ALT_REF_LOCI_2	alt_pos = 2873409 - (primary_pos - 30377807)
chr15_KQ031389v1_alt	chr15	30593322	32413998	112013	1932750	112013	432614	2365364	-	.	.	.	alt_pos = 1932750 - (primary_pos - 30593322)
chr15_MU273375v1_alt	chr15	34261290	34457915	0	204007	0	0	204007	+	.	.	.	alt_pos = 0 + (primary_pos - 34261290)
chr15_KI270849v1_alt	chr15	44676663	44913053	0	244917	0	0	244917	+	NT_187605.1	KI270849.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 44676663)
chr15_GL383555v2_alt	chr15	65908182	66284818	0	388773	0	0	388773	+	NW_003315944.2	GL383555.2	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 65908182)
chr15_KI270850v1_alt	chr15	82289983	82641774	0	430880	0	0	430880	+	NT_187606.1	KI270850.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 82289983)
chr16_KI270854v1_alt	chr16	400854	531525	0	134193	0	0	134193	+	NT_187610.1	KI270854.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 400854)
chr16_KI270856v1_alt	chr16	1871894	1933852	2032	63982	2032	0	63982	+	NT_187609.1	KI270856.1	ALT_REF_LOCI_1	alt_pos = 2032 + (primary_pos - 1871894)
chr16_KQ090026v1_alt	chr16	2820535	2873621	0	59016	0	0	59016	+	.	.	.	alt_pos = 0 + (primary_pos - 2820535)
chr16_KI270855v1_alt	chr16	4299636	4530534	0	232857	0	0	232857	+	NT_187608.1	KI270855.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 4299636)
chr16_KI270853v1_alt	chr16	14427143	16998739	0	2659700	0	0	2659700	+	NT_187607.1	KI270853.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 14427143)
chr16_KI270853v1_alt	chr16	14804573	15322230	340427	982308	340427	1677392	2659700	-	NT_187607.1	KI270853.1	ALT_REF_LOCI_1	alt_pos = 982308 - (primary_pos - 14804573)
chr16_GL383556v1_alt	chr16	55772980	55968548	0	192462	0	0	192462	+	NW_003315945.1	GL383556.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 55772980)
chr16_GL383557v1_alt	chr16	69140150	69224690	0	89672	0	0	89672	-	NW_003315946.1	GL383557.1	ALT_REF_LOCI_1	alt_pos = 89672 - (primary_pos - 69140150)
chr16_KQ090027v1_alt	chr16	71137291	71399966	0	267463	0	0	267463	+	.	.	.	alt_pos = 0 + (primary_pos - 71137291)
chr16_KZ208921v1_alt	chr16	75169810	75248387	0	78609	0	0	78609	+	.	.	.	alt_pos = 0 + (primary_pos - 75169810)
chr16_KZ208921v1_alt	chr16	75206214	75222748	36415	52944	36415	25665	78609	-	.	.	.	alt_pos = 52944 - (primary_pos - 75206214)
chr16_KQ031390v1_alt	chr16	75930095	76091406	0	169136	0	0	169136	+	.	.	.	alt_pos = 0 + (primary_pos - 75930095)
chr17_GL383563v3_alt	chr17	60000	402637	0	375691	0	0	375691	+	NW_003315952.3	GL383563.3	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 60000)
chr17_KI270907v1_alt	chr17	266971	402637	0	137721	0	0	137721	-	NT_187662.1	KI270907.1	ALT_REF_LOCI_2	alt_pos = 137721 - (primary_pos - 266971)
chr17_KI270862v1_alt	chr17	960753	1449331	0	391357	0	0	391357	+	NT_187613.1	KI270862.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 960753)
chr17_KI270910v1_alt	chr17	960753	1117082	0	157099	0	0	157099	+	NT_187664.1	KI270910.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 960753)
chr17_KI270861v1_alt	chr17	1569972	1767739	0	196688	0	0	196688	+	NT_187611.1	KI270861.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 1569972)
chr17_KV766198v1_alt	chr17	18239626	18506313	0	276292	0	0	276292	+	.	.	.	alt_pos = 0 + (primary_pos - 18239626)
chr17_KI270857v1_alt	chr17	35765468	38841755	0	2877074	0	0	2877074	+	NT_187614.1	KI270857.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 35765468)
chr17_KI270909v1_alt	chr17	36045903	36270057	0	325800	0	0	325800	+	NT_187661.1	KI270909.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 36045903)
chr17_JH159146v1_alt	chr17	40850732	41128408	0	278131	0	0	278131	+	NW_003871091.1	JH159146.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 40850732)
chr17_MU273378v1_alt	chr17	41050197	41432935	0	372839	0	0	372839	+	.	.	.	alt_pos = 0 + (primary_pos - 41050197)
chr17_JH159148v1_alt	chr17	41207669	41307109	0	88070	0	0	88070	-	NW_003871093.1	JH159148.1	ALT_REF_LOCI_2	alt_pos = 88070 - (primary_pos - 41207669)
chr17_JH159147v1_alt	chr17	41226442	41307109	0	70345	0	0	70345	-	NW_003871092.1	JH159147.1	ALT_REF_LOCI_1	alt_pos = 70345 - (primary_pos - 41226442)
chr17_GL383564v2_alt	chr17	41307109	41432935	0	133151	0	0	133151	-	NW_003315953.2	GL383564.2	ALT_REF_LOCI_1	alt_pos = 133151 - (primary_pos - 41307109)
chr17_GL000258v2_alt	chr17	45309497	46836265	0	1821992	0	0	1821992	+	NT_167251.2	GL000258.2	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 45309497)
chr17_KI270908v1_alt	chr17	45309497	46903773	0	1423190	0	0	1423190	+	NT_187663.1	KI270908.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 45309497)
chr17_GL000258v2_alt	chr17	45495830	46565079	186274	1551188	186274	270804	1821992	-	NT_167251.2	GL000258.2	ALT_REF_LOCI_1	alt_pos = 1551188 - (primary_pos - 45495830)
chr17_KV766197v1_alt	chr17	52434176	52673566	0	246895	0	0	246895	+	.	.	.	alt_pos = 0 + (primary_pos - 52434176)
chr17_GL383565v1_alt	chr17	70306277	70524219	0	223995	0	0	223995	+	NW_003315954.1	GL383565.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 70306277)
chr17_KI270858v1_alt	chr17	71584517	71819311	0	235827	0	0	235827	+	NT_187615.1	KI270858.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 71584517)
chr17_KZ559114v1_alt	chr17	72833330	72935743	0	116753	0	0	116753	+	.	.	.	alt_pos = 0 + (primary_pos - 72833330)
chr17_KI270859v1_alt	chr17	72833330	72935743	0	108763	0	0	108763	+	NT_187616.1	KI270859.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 72833330)
chr17_GL383566v1_alt	chr17	77220729	77299326	11621	90219	11621	0	90219	+	NW_003315955.1	GL383566.1	ALT_REF_LOCI_1	alt_pos = 11621 + (primary_pos - 77220729)
chr17_KI270860v1_alt	chr17	82922719	83103577	0	178921	0	0	178921	-	NT_187612.1	KI270860.1	ALT_REF_LOCI_1	alt_pos = 178921 - (primary_pos - 82922719)
chr18_KZ559116v1_alt	chr18	1744181	1884837	0	163186	0	0	163186	+	.	.	.	alt_pos = 0 + (primary_pos - 1744181)
chr18_KQ458385v1_alt	chr18	22388679	22588100	0	205101	0	0	205101	+	.	.	.	alt_pos = 0 + (primary_pos - 22388679)
chr18_KI270864v1_alt	chr18	43667276	43773892	0	111737	0	0	111737	-	NT_187618.1	KI270864.1	ALT_REF_LOCI_1	alt_pos = 111737 - (primary_pos - 43667276)
chr18_GL383567v1_alt	chr18	50292193	50574792	0	289831	0	0	289831	+	NW_003315956.1	GL383567.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 50292193)
chr18_GL383570v1_alt	chr18	51662935	51821642	0	164789	0	0	164789	-	NW_003315959.1	GL383570.1	ALT_REF_LOCI_1	alt_pos = 164789 - (primary_pos - 51662935)
chr18_GL383571v1_alt	chr18	67423722	67552551	0	198278	0	0	198278	+	NW_003315960.1	GL383571.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 67423722)
chr18_GL383568v1_alt	chr18	72933121	73024781	0	104552	0	0	104552	-	NW_003315957.1	GL383568.1	ALT_REF_LOCI_1	alt_pos = 104552 - (primary_pos - 72933121)
chr18_GL383569v1_alt	chr18	78493466	78652030	0	167950	0	0	167950	+	NW_003315958.1	GL383569.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 78493466)
chr18_KI270912v1_alt	chr18	78493466	78664469	0	174061	0	0	174061	+	NT_187665.1	KI270912.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 78493466)
chr18_KI270911v1_alt	chr18	78934885	79088997	0	157710	0	0	157710	+	NT_187666.1	KI270911.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 78934885)
chr18_GL383572v1_alt	chr18	78934885	79088997	0	159547	0	0	159547	+	NW_003315961.1	GL383572.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 78934885)
chr18_KI270863v1_alt	chr18	79563121	79725366	0	167999	0	0	167999	+	NT_187617.1	KI270863.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 79563121)
chr19_KI270868v1_alt	chr19	821157	881412	0	61733	0	1	61734	+	NT_187622.1	KI270868.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 821157)
chr19_KI270865v1_alt	chr19	1107413	1158195	0	52969	0	0	52969	+	NT_187621.1	KI270865.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 1107413)
chr19_MU273387v1_alt	chr19	5826399	5915642	0	89211	0	0	89211	+	.	.	.	alt_pos = 0 + (primary_pos - 5826399)
chr19_GL383573v1_alt	chr19	20663140	21042381	0	385657	0	0	385657	+	NW_003315962.1	GL383573.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 20663140)
chr19_GL383575v2_alt	chr19	21648289	21809032	0	170222	0	0	170222	+	NW_003315964.2	GL383575.2	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 21648289)
chr19_GL383576v1_alt	chr19	22120849	22300666	0	188024	0	0	188024	-	NW_003315965.1	GL383576.1	ALT_REF_LOCI_1	alt_pos = 188024 - (primary_pos - 22120849)
chr19_GL383574v1_alt	chr19	34152259	34300950	0	155864	0	0	155864	+	NW_003315963.1	GL383574.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 34152259)
chr19_KI270866v1_alt	chr19	34350806	34392977	0	42221	0	935	43156	+	NT_187619.1	KI270866.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 34350806)
chr19_KI270867v1_alt	chr19	41456580	41682000	0	233762	0	0	233762	-	NT_187620.1	KI270867.1	ALT_REF_LOCI_1	alt_pos = 233762 - (primary_pos - 41456580)
chr19_GL949750v2_alt	chr19	54025633	55084318	0	1066390	0	0	1066390	+	NW_003571058.2	GL949750.2	ALT_REF_LOCI_5	alt_pos = 0 + (primary_pos - 54025633)
chr19_GL949749v2_alt	chr19	54025633	55084318	0	1091841	0	0	1091841	+	NW_003571057.2	GL949749.2	ALT_REF_LOCI_4	alt_pos = 0 + (primary_pos - 54025633)
chr19_GL949748v2_alt	chr19	54025633	55084318	0	1064304	0	0	1064304	+	NW_003571056.2	GL949748.2	ALT_REF_LOCI_3	alt_pos = 0 + (primary_pos - 54025633)
chr19_GL949751v2_alt	chr19	54025633	55084318	0	1002683	0	0	1002683	+	NW_003571059.2	GL949751.2	ALT_REF_LOCI_6	alt_pos = 0 + (primary_pos - 54025633)
chr19_GL949747v2_alt	chr19	54025633	55084318	0	729520	0	0	729520	+	NW_003571055.2	GL949747.2	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 54025633)
chr19_GL949753v2_alt	chr19	54025633	55084318	0	796479	0	0	796479	+	NW_003571061.2	GL949753.2	ALT_REF_LOCI_8	alt_pos = 0 + (primary_pos - 54025633)
chr19_GL949746v1_alt	chr19	54025633	55084318	0	987716	0	0	987716	+	NW_003571054.1	GL949746.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 54025633)
chr19_GL949752v1_alt	chr19	54025633	55084318	0	987100	0	0	987100	+	NW_003571060.1	GL949752.1	ALT_REF_LOCI_7	alt_pos = 0 + (primary_pos - 54025633)
chr19_KI270938v1_alt	chr19	54025633	55084318	0	1066800	0	0	1066800	+	NT_187693.1	KI270938.1	ALT_REF_LOCI_9	alt_pos = 0 + (primary_pos - 54025633)
chr19_KV575257v1_alt	chr19	54698376	54879431	0	100553	0	0	100553	+	.	.	.	alt_pos = 0 + (primary_pos - 54698376)
chr19_KV575256v1_alt	chr19	54698376	54863896	0	223118	0	0	223118	+	.	.	.	alt_pos = 0 + (primary_pos - 54698376)
chr19_KV575254v1_alt	chr19	54698376	54877460	0	99845	0	0	99845	+	.	.	.	alt_pos = 0 + (primary_pos - 54698376)
chr19_KV575260v1_alt	chr19	54698376	54857701	0	145691	0	0	145691	+	.	.	.	alt_pos = 0 + (primary_pos - 54698376)
chr19_KI270918v1_alt	chr19	54698376	54821095	0	123111	0	0	123111	+	NT_187672.1	KI270918.1	ALT_REF_LOCI_24	alt_pos = 0 + (primary_pos - 54698376)
chr19_KV575249v1_alt	chr19	54698376	54859094	0	293522	0	0	293522	+	.	.	.	alt_pos = 0 + (primary_pos - 54698376)
chr19_GL000209v2_alt	chr19	54698376	54861971	0	177381	0	0	177381	-	NT_113949.2	GL000209.2	ALT_REF_LOCI_35	alt_pos = 177381 - (primary_pos - 54698376)
chr19_KI270916v1_alt	chr19	54698376	54869302	0	184516	0	0	184516	-	NT_187670.1	KI270916.1	ALT_REF_LOCI_22	alt_pos = 184516 - (primary_pos - 54698376)
chr19_KI270888v1_alt	chr19	54698376	54868929	0	155532	0	0	155532	-	NT_187642.1	KI270888.1	ALT_REF_LOCI_16	alt_pos = 155532 - (primary_pos - 54698376)
